Name,Conditions,NCT_Number,Phases,Prob_unapproval,Prob_approval
_MIDAZOLAM,"HEPATITIS B, CHRONIC",NCT02952924,Phase 1,0.12574944954062708,0.8742505504593732
_ROSUVASTATIN,OVARIAN CANCER,NCT03532139,Phase 2,0.3125727650205099,0.6874272349794903
_SIMVASTATIN,CIRRHOSIS,NCT02968810,Phase 2,0.20027343533183473,0.7997265646681655
_CANDESARTAN,MILD COGNITIVE IMPAIRMENT,NCT02646982,Phase 2,0.26489401687564146,0.7351059831243586
_CANDESARTAN,PERIPHERAL NEUROPATHY,NCT03688633,Phase 2,0.12725663099990006,0.8727433690001
_NICOTINE,MILD COGNITIVE IMPAIRMENT,NCT02720445,Phase 2,0.13541944169759623,0.8645805583024039
_BUPROPION,WILSON DISEASE,NCT04526210,Phase 1,0.18723806224589112,0.812761937754109
_BUPROPION_HYDROCHLORIDE,WILSON DISEASE,NCT04526210,Phase 1,0.4425509613751506,0.5574490386248494
_DEXMEDETOMIDINE,ALZHEIMER DISEASE,NCT04205539,Phase 1,0.3904729052117341,0.6095270947882659
_DEXMEDETOMIDINE,ANALGESIA,NCT04442906,Not Applicable,0.012319319605067838,0.9876806803949322
_FENTANYL,ANALGESIA,NCT04442906,Not Applicable,0.014808872657274258,0.9851911273427256
_CELECOXIB,WILSON DISEASE,NCT04526197,Phase 1,0.25976206619479625,0.7402379338052039
_LOSARTAN,PANCREATIC CANCER,NCT03563248,Phase 2,0.11361011200732961,0.8863898879926704
_DASATINIB,ALZHEIMER DISEASE,NCT04063124,Phase 1|Phase 2,0.345569341489507,0.6544306585104933
_REGORAFENIB,GASTRIC CANCER,NCT03627728,Phase 2,0.3196196110370947,0.6803803889629058
_TRAMETINIB,SOFT TISSUE SARCOMA,NCT03784014,Phase 3,0.3433183841054448,0.6566816158945552
_DABRAFENIB,SOFT TISSUE SARCOMA,NCT03784014,Phase 3,0.2964314750412883,0.7035685249587118
_NILOTINIB,SOFT TISSUE SARCOMA,NCT03784014,Phase 3,0.12099555376166282,0.8790044462383372
_PALBOCICLIB,SOFT TISSUE SARCOMA,NCT03784014,Phase 3,0.3073416176106311,0.6926583823893689
_OLAPARIB,SOFT TISSUE SARCOMA,NCT03784014,Phase 3,0.27965246957112144,0.7203475304288787
_GLASDEGIB,SOFT TISSUE SARCOMA,NCT03784014,Phase 3,0.436905672606502,0.5630943273934983
_DAPAGLIFLOZIN,ALZHEIMER DISEASE,NCT03801642,Phase 1|Phase 2,0.19281097211817064,0.8071890278818296
_DAPAGLIFLOZIN,NONALCOHOLIC STEATOHEPATITIS,NCT03723252,Phase 3,0.10193001088636536,0.8980699891136349
_MUPIROCIN,CYSTIC FIBROSIS,NCT03489629,Phase 2,0.29787018447951424,0.7021298155204856
_CHLORHEXIDINE,CYSTIC FIBROSIS,NCT03489629,Phase 2,0.3283206589004994,0.6716793410995006
_SULFAMETHOXAZOLE,CYSTIC FIBROSIS,NCT03489629,Phase 2,0.3781588780476221,0.6218411219523782
_DEXTROMETHORPHAN,AMYOTROPHIC LATERAL SCLEROSIS,NCT03883581,Phase 1|Phase 2,0.4491728507662989,0.5508271492337011
_QUINIDINE,AMYOTROPHIC LATERAL SCLEROSIS,NCT03883581,Phase 1|Phase 2,0.42978911992411106,0.5702108800758889
_SILDENAFIL,PREECLAMPSIA,NCT03724838,Not Applicable,0.02904926897487597,0.970950731025124
_SILDENAFIL_CITRATE,PREECLAMPSIA,NCT03724838,Not Applicable,0.06938376827175913,0.930616231728241
_SILDENAFIL,CYSTIC FIBROSIS,NCT04039087,Phase 2|Phase 3,0.044411976900085956,0.9555880230999141
_OLANZAPINE,GASTRIC CANCER,NCT03575637,Phase 2,0.10223971445511645,0.8977602855448836
_COLCHICINE,AMYOTROPHIC LATERAL SCLEROSIS,NCT03693781,Phase 2,0.1608477780470942,0.8391522219529057
_CEPHALEXIN,CYSTIC FIBROSIS,NCT04553419,Phase 3,0.07396748681580097,0.9260325131841991
_FENTANYL,PANCREATIC CANCER,NCT03434678,Phase 3,0.12546218291001948,0.8745378170899807
_BUPIVACAINE,PANCREATIC CANCER,NCT03434678,Phase 3,0.040082211551077745,0.9599177884489223
_PROPOFOL,PANCREATIC CANCER,NCT03434678,Phase 3,0.05628979942299443,0.9437102005770057
_ROCURONIUM,PANCREATIC CANCER,NCT03434678,Phase 3,0.22094550646989178,0.7790544935301085
_ONDANSETRON,CHOLECYSTITIS,NCT04468685,Phase 2,0.1822671885004978,0.8177328114995024
_BUPIVACAINE,ANALGESIA,NCT03922048,Phase 2,0.2027407954008152,0.7972592045991849
_GUANFACINE,ALZHEIMER DISEASE,NCT03116126,Phase 3,0.24009493304777135,0.7599050669522288
_PIOGLITAZONE,GASTROPARESIS,NCT04300127,Early Phase 1,0.32661545658678875,0.6733845434132113
_OXYTOCIN,PREECLAMPSIA,NCT02221830,Early Phase 1,0.20888761927160432,0.7911123807283961
_OXYTOCIN,PRADER-WILLI SYNDROME,NCT03114371,Not Applicable,0.14777900173549663,0.8522209982645035
_NEOSTIGMINE,GASTRIC CANCER,NCT04205097,Not Applicable,0.08822073298633287,0.9117792670136672
_SUGAMMADEX,GASTRIC CANCER,NCT04205097,Not Applicable,0.1738864208057832,0.826113579194217
_SOFOSBUVIR,HEPATITIS B INFECTION,NCT03312023,Phase 2,0.4152004031104265,0.5847995968895736
_LEDIPASVIR,HEPATITIS B INFECTION,NCT03312023,Phase 2,0.3675165926898369,0.6324834073101634
_PRADEFOVIR_MESYLATE,CHRONIC HEPATITIS B,NCT04543565,Phase 3,0.32588682212344994,0.6741131778765503
_PRADEFOVIR,CHRONIC HEPATITIS B,NCT04543565,Phase 3,0.319761466115389,0.6802385338846112
_ISOMALT,IRON DEFICIENCY ANEMIA TREATMENT,NCT03610230,Not Applicable,0.17642380670466323,0.8235761932953367
_SUCROSE,IRON DEFICIENCY ANEMIA TREATMENT,NCT03610230,Not Applicable,0.07119962102656632,0.9288003789734338
_IRON_SUCROSE,IRON DEFICIENCY ANEMIA TREATMENT,NCT03610230,Not Applicable,0.16290967323882014,0.8370903267611799
_FAMOTIDINE,EOSINOPHILIC ESOPHAGITIS,NCT04248712,Phase 2,0.20917372193861525,0.7908262780613852
_LORATADINE,EOSINOPHILIC ESOPHAGITIS,NCT04248712,Phase 2,0.39810286992294613,0.6018971300770537
_CRIZOTINIB,NEOPLASMS,NCT03194893,Phase 3,0.4353239913280891,0.564676008671911
_APATINIB,PANCREATIC CANCER,NCT04415385,Phase 2,0.03824536537806269,0.9617546346219374
_APATINIB,COLORECTAL CANCER,NCT04446091,Phase 1|Phase 2,0.14055876720108818,0.8594412327989118
_TOPOTECAN,OVARIAN CANCER,NCT03763123,Phase 1,0.3188393670139094,0.6811606329860908
_EMPAGLIFLOZIN,END STAGE RENAL DISEASE,NCT03713190,Phase 2,0.09433085560045949,0.9056691443995409
_PIRARUBICIN,SOFT TISSUE SARCOMA,NCT04126811,Phase 2,0.0944808009635206,0.9055191990364793
_TOCOTRIENOL,AMYOTROPHIC LATERAL SCLEROSIS,NCT04140136,Phase 2,0.2992609314086666,0.7007390685913335
_EPLERENONE,HIV INFECTION,NCT02740179,Not Applicable,0.08382055457047045,0.9161794454295298
_DRONABINOL,ALZHEIMER DISEASE,NCT02792257,Phase 2,0.19058539364251936,0.8094146063574809
_RIBAVIRIN,"HEPATITIS B, CHRONIC",NCT03759782,Phase 3,0.04803009189981377,0.9519699081001863
_PERFLUTREN,HEPATOCELLULAR CARCINOMA|LIVER CANCER,NCT03199274,Early Phase 1,0.3409851611306675,0.6590148388693328
_TOFACITINIB,PSORIATIC ARTHRITIS,NCT03486457,Phase 3,0.17454433574964093,0.8254556642503591
_NICLOSAMIDE,FAMILIAL ADENOMATOUS POLYPOSIS,NCT04296851,Phase 2,0.19859217195980694,0.8014078280401934
_KETOTIFEN,FUNCTIONAL DYSPEPSIA,NCT02484248,Phase 3,0.1546828426282639,0.8453171573717364
_SALSALATE,PREECLAMPSIA,NCT03482440,Early Phase 1,0.2279341755070057,0.7720658244929947
_SORBITOL,NON-ALCOHOLIC FATTY LIVER DISEASE,NCT04330326,Phase 2,0.3005632848743509,0.6994367151256491
_RESVERATROL,FRIEDREICH ATAXIA,NCT03933163,Phase 2,0.44300244405688693,0.5569975559431132
_BIA,MAJOR DEPRESSIVE DISORDER,NCT04137367,Not Applicable,0.3817003575922544,0.6182996424077455
_OLEIC_ACID,CYSTIC FIBROSIS,NCT04531410,Not Applicable,0.39662110807208756,0.6033788919279125
_LINOLEIC_ACID,CYSTIC FIBROSIS,NCT04531410,Not Applicable,0.17029497650366365,0.8297050234963365
_HESPERIDIN,NON ALCOHOLIC STEATOHEPATITIS,NCT03734510,Not Applicable,0.13792581535131107,0.8620741846486889
_OBETICHOLIC_ACID,NON-ALCOHOLIC FATTY LIVER DISEASE,NCT03836937,Not Applicable,0.1943017361488941,0.8056982638511063
_METHYLNALTREXONE,PANCREATIC CANCER,NCT04083651,Phase 2|Phase 3,0.46867836292728454,0.5313216370727154
_FASUDIL,AMYOTROPHIC LATERAL SCLEROSIS,NCT03792490,Phase 2,0.19302389698683042,0.8069761030131697
_HYALURONIC_ACID,GASTRO ESOPHAGEAL REFLUX,NCT04202692,Not Applicable,0.20408023313165444,0.7959197668683458
_MAGNESIUM_TRISILICATE,GASTRO ESOPHAGEAL REFLUX,NCT04202692,Not Applicable,0.31650620083521636,0.6834937991647837
_DEFERIPRONE,AMYOTROPHIC LATERAL SCLEROSIS,NCT03293069,Phase 2|Phase 3,0.06356242786969343,0.9364375721303067
_BRIVANIB,OVARIAN CANCER,NCT03895788,Phase 1,0.4457074152313571,0.554292584768643
_CYCLOPHOSPHAMIDE,GRAFT VS HOST DISEASE,NCT03357159,Phase 2,0.07554581012271912,0.924454189877281
_CYCLOPHOSPHAMIDE,METASTATIC MELANOMA,NCT03475134,Phase 1,0.07554581012271912,0.924454189877281
_FLUDARABINE,METASTATIC MELANOMA,NCT03475134,Phase 1,0.05160922133854154,0.9483907786614586
_CYCLOPHOSPHAMIDE,SICKLE CELL DISEASE,NCT03121001,Phase 2,0.2854779834756306,0.7145220165243696
_FLUDARABINE,SICKLE CELL DISEASE,NCT03121001,Phase 2,0.4044674850659222,0.5955325149340779
_MYCOPHENOLATE_MOFETIL,SICKLE CELL DISEASE,NCT03121001,Phase 2,0.46689945483238665,0.5331005451676133
_SIROLIMUS,SICKLE CELL DISEASE,NCT03121001,Phase 2,0.21299714161811076,0.7870028583818892
_METHOTREXATE,SICKLE CELL DISEASE,NCT02766465,Phase 2,0.2665227201467147,0.7334772798532857
_TACROLIMUS,SICKLE CELL DISEASE,NCT02766465,Phase 2,0.24147313147405536,0.7585268685259448
_BUSULFAN,SICKLE CELL DISEASE,NCT02766465,Phase 2,0.32676938372163244,0.6732306162783676
_MELPHALAN,SICKLE CELL DISEASE,NCT02766465,Phase 2,0.4037891511737703,0.5962108488262297
_TACROLIMUS,HEMATOLOGICAL MALIGNANCY,NCT01349101,Phase 2,0.16111987648534815,0.8388801235146519
_BUSULFAN,HEMATOLOGICAL MALIGNANCY,NCT01349101,Phase 2,0.22738263041868761,0.7726173695813123
_MYCOPHENOLATE_MOFETIL,HEMATOLOGICAL MALIGNANCY,NCT01349101,Phase 2,0.23282473996582898,0.7671752600341712
_FLUDARABINE,GRAFT VS HOST DISEASE,NCT03263767,Phase 2,0.04281729095859181,0.9571827090414082
_DAPTOMYCIN,STAPHYLOCOCCUS AUREUS BACTEREMIA,NCT03138733,Phase 3,0.18302730604305645,0.8169726939569437
_AMIKACIN,PNEUMONIA VENTILATOR ASSOCIATED,NCT03149640,Phase 3,0.08562350656949212,0.9143764934305081
_LINEZOLID,TUBERCULOUS MENINGITIS,NCT03898635,,0.2645814031450356,0.7354185968549645
_GANCICLOVIR,TRANSPLANTATION INFECTION|CYTOMEGALOVIRUS INFECTIONS,NCT03699254,Phase 3,0.03777355964008895,0.9622264403599111
_VALGANCICLOVIR,TRANSPLANTATION INFECTION|CYTOMEGALOVIRUS INFECTIONS,NCT03699254,Phase 3,0.07615482712054714,0.923845172879453
_THIOTEPA,SICKLE CELL DISEASE,NCT04362293,Phase 2,0.26278197724375507,0.7372180227562453
_AZATHIOPRINE,SICKLE CELL DISEASE,NCT04362293,Phase 2,0.23978480789555193,0.7602151921044482
_PLERIXAFOR,SICKLE CELL DISEASE,NCT04362293,Phase 2,0.4987241916612843,0.5012758083387157
_HYDROXYUREA,SICKLE CELL DISEASE,NCT04362293,Phase 2,0.3543822841253311,0.6456177158746687
_MELPHALAN,METASTATIC MELANOMA,NCT01920516,,0.30117554345070907,0.698824456549291
_DEXAMETHASONE,GRAFT VS HOST DISEASE,NCT00391170,Phase 2,0.06013653548975428,0.9398634645102457
_NICOTINAMIDE,SICKLE CELL DISEASE,NCT04055818,Phase 1,0.2201208484541109,0.7798791515458896
_NICOTINAMIDE,PREECLAMPSIA,NCT03419364,Phase 2,0.4593105477038196,0.5406894522961804
_RUXOLITINIB,CORONAVIRUS INFECTION,NCT04348695,Phase 2,0.329065714321047,0.6709342856789536
_SIMVASTATIN,CORONAVIRUS INFECTION,NCT04348695,Phase 2,0.16358990257669384,0.8364100974233062
_CHOLECALCIFEROL,ATOPIC DERMATITIS,NCT02537509,Phase 2,0.036816734833285264,0.9631832651667147
_ISONIAZID,TUBERCULOUS MENINGITIS,NCT03787940,Not Applicable,0.08157334616009719,0.918426653839903
_DEXMEDETOMIDINE,INFECTIVE ENDOCARDITIS,NCT02698930,Not Applicable,0.012319319605067838,0.9876806803949322
_IMATINIB,PLASMODIUM FALCIPARUM MALARIA (DRUG RESISTANT),NCT03697668,Phase 2,0.1579810701237394,0.8420189298762611
_IBRUTINIB,GRAFT VS HOST DISEASE,NCT04235036,Phase 2,0.44327146015838986,0.5567285398416102
_FLUCONAZOLE,CRYPTOCOCCAL MENINGITIS,NCT03945448,Phase 2|Phase 3,0.1252893981843018,0.8747106018156983
_POSACONAZOLE,INVASIVE ASPERGILLOSIS,NCT04218851,Phase 2,0.199788253101107,0.8002117468988931
_CASPOFUNGIN,FUNGAL INFECTION,NCT03857399,Phase 2,0.10821256664443928,0.8917874333555609
_VORICONAZOLE,INVASIVE PULMONARY ASPERGILLOSIS,NCT03672292,Phase 2,0.19662232740022265,0.8033776725997774
_SULFADOXINE,MALARIA IN PREGNANCY,NCT03998839,,0.20439415839412997,0.7956058416058702
_IVERMECTIN,CORONAVIRUS INFECTION,NCT04431466,Phase 2,0.03625783549270021,0.9637421645073
_IVERMECTIN,MALARIA,NCT03967054,Phase 3,0.022689408237509777,0.9773105917624905
_IVERMECTIN,CORONAVIRUS INFECTIONS,NCT04384458,Not Applicable,0.03625783549270021,0.9637421645073
_CLOFAZIMINE,MYCOBACTERIUM AVIUM COMPLEX,NCT02968212,Phase 2,0.3278576252831084,0.6721423747168916
_CAMOSTAT,CORONA VIRUS INFECTION,NCT04321096,Phase 1|Phase 2,0.1959302203839625,0.8040697796160374
_PYRIDOSTIGMINE,COVID-19|SARS-COV-2,NCT04343963,Phase 2|Phase 3,0.10424579624735678,0.8957542037526433
_PYRIDOSTIGMINE_BROMIDE,COVID-19|SARS-COV-2,NCT04343963,Phase 2|Phase 3,0.18979717826181772,0.8102028217381825
_NITAZOXANIDE,COVID-19,NCT04463264,Phase 2|Phase 3,0.3313190301560311,0.6686809698439693
_COLCHICINE,CORONAVIRUS INFECTION,NCT04363437,Phase 2,0.27016526477925223,0.7298347352207479
_COLCHICINE,CORONA VIRUS INFECTION,NCT04322682,Phase 3,0.3583097304831149,0.6416902695168851
_CARVEDILOL,CIRRHOSIS,NCT01212250,Not Applicable,0.009774360046837538,0.9902256399531625
_MOMETASONE,SICKLE CELL DISEASE,NCT03758950,Phase 2,0.21700047956634674,0.7829995204336535
_MARAVIROC,COVID-19,NCT04441385,Phase 2,0.3254796768968764,0.674520323103124
_RIOCIGUAT,SICKLE CELL DISEASE,NCT02633397,Phase 2,0.26988120064672616,0.7301187993532742
_PRAZOSIN,COVID-19,NCT04365257,Phase 2,0.1764320423952934,0.8235679576047068
_RIFAXIMIN,MICROBIAL COLONIZATION,NCT03529825,Early Phase 1,0.24412447546859176,0.7558755245314087
_PENTOSTATIN,SICKLE CELL DISEASE,NCT03077542,Phase 1|Phase 2,0.4647199322915289,0.5352800677084709
_BARICITINIB,COVID-19,NCT04321993,Phase 2,0.2709566588474732,0.729043341152527
_MELOXICAM,ANKYLOSING SPONDYLITIS,NCT04480359,Phase 2|Phase 3,0.11261440004361717,0.887385599956383
_PERMETHRIN,MALARIA,NCT04102592,Not Applicable,0.1093661139117202,0.8906338860882799
_FAVIPIRAVIR,CORONAVIRUS INFECTION,NCT04373733,Phase 3,0.44916376095332444,0.5508362390466757
_PREDNISONE,NEWLY DIAGNOSED MULTIPLE MYELOMA,NCT03742297,Phase 3,0.0036431445395446187,0.9963568554604554
_MELPHALAN,NEWLY DIAGNOSED MULTIPLE MYELOMA,NCT03742297,Phase 3,0.12288795364070083,0.8771120463592994
_CARFILZOMIB,NEWLY DIAGNOSED MULTIPLE MYELOMA,NCT03742297,Phase 3,0.27023967845181435,0.7297603215481859
_PREDNISONE,DIFFUSE LARGE B CELL LYMPHOMA,NCT02767674,Phase 3,0.008643144539544617,0.9913568554604554
_CYCLOPHOSPHAMIDE,DIFFUSE LARGE B CELL LYMPHOMA,NCT02767674,Phase 3,0.006285775655884827,0.9937142243441152
_GEMCITABINE,DIFFUSE LARGE B CELL LYMPHOMA,NCT02767674,Phase 3,0.05756929577291842,0.9424307042270815
_EPIRUBICIN,DIFFUSE LARGE B CELL LYMPHOMA,NCT02767674,Phase 3,0.02576787245592382,0.9742321275440762
_VINDESINE,DIFFUSE LARGE B CELL LYMPHOMA,NCT02767674,Phase 3,0.18390452590245224,0.8160954740975478
_METHOTREXATE,DIFFUSE LARGE B CELL LYMPHOMA,NCT04214626,Phase 2,0.030017496655352787,0.9699825033446474
_LENALIDOMIDE,DIFFUSE LARGE B CELL LYMPHOMA,NCT04214626,Phase 2,0.20195666360845355,0.7980433363915467
_METHOTREXATE,ACUTE LYMPHOBLASTIC LEUKEMIA PH POSITIVE,NCT01376427,Not Applicable,0.029229635825935952,0.9707703641740644
_VINCRISTINE,ACUTE LYMPHOBLASTIC LEUKEMIA PH POSITIVE,NCT01376427,Not Applicable,0.12735669325754986,0.8726433067424503
_DEXAMETHASONE,ACUTE LYMPHOBLASTIC LEUKEMIA PH POSITIVE,NCT01376427,Not Applicable,0.0034365051291121327,0.9965634948708879
_METHOTREXATE,PERIPHERAL T CELL LYMPHOMA,NCT03321890,Phase 2,0.030017496655352787,0.9699825033446474
_TACROLIMUS,ACUTE MYELOID LEUKEMIA,NCT03467386,Phase 1,0.2951357558700664,0.7048642441299335
_TACROLIMUS,SEVERE APLASTIC ANEMIA,NCT02918292,Phase 2,0.3017983790014538,0.6982016209985463
_BUSULFAN,LYMPHOMA,NCT03151876,Phase 2,0.16494928432379877,0.8350507156762014
_CLADRIBINE,LYMPHOMA,NCT03151876,Phase 2,0.16838764573004422,0.8316123542699558
